mulder_lines,season,episode
MULDER: Sorry for the run around. Can I buy you a drink?  ,1,1
MULDER: It's not stopping the rest of these people. I got something to show you.  ,1,1
"MULDER: Let's get a table. (Mulder and Scully make their way through the crowded bar. We see many people sitting at the bar, but one particular man seems to be watching Mulder and Scully. Scully is looking through a file, we see a photo of a man, the same man we saw trembling in his home at the start, in a military uniform) That's Colonel Robert Budahas. That photo was taken last year when he was a test pilot for the military, stationed at Ellens Air Base in Southwest Idaho. Four months ago, Colonel Budahas experienced a psychotic episode and barricaded himself in his home. Military police were called in. Budahas was removed and apparently hospitalised with treatment of his condition.  ",1,1
"MULDER: The military will not comment on the cause, nature or status. In fact, the military will not comment on Colonel Budahas at all.  ",1,1
"MULDER: Mrs. Budahas has neither seen nor heard from her husband in over four months. Her inquiries to the military have gone unanswered. Last month, she contacted the FBI and reported it as a kidnapping.  ",1,1
"MULDER: That's the sixty-four thousand dollar question, Scully. (Mulder passes Scully some new information, a thick pile of papers) Since 1963, six pilots have been listed as missing in action, from Ellens Air Base. The military will say only that these pilots accepted the risks of flying experimental aircraft.  ",1,1
"MULDER: There were other rumours too. I've been tracking this case since it came through the Boise regional office last month. Last week, for reasons I can't figure out, it was deprioritised. They shelved this case without an investigation, Scully.  ",1,1
"MULDER: So, you and I, are going to the spud state to investigate a little kidnapping.  ",1,1
"MULDER: Let's just say, this case has a, distinct smell to it, a certain, paranormal bouquet. Excuse me.  ",1,1
MULDER: What?  ,1,1
MULDER: Who are you?  ,1,1
MULDER: How do you know about my work?  ,1,1
MULDER: Who are you? Who do you work for?  ,1,1
MULDER: I can't do that.  ,1,1
"MULDER: Yeah, I'm fine.  ",1,1
MULDER: Hello.  ,1,1
MULDER: Yeah.  ,1,1
MULDER: Uh-huh.  ,1,1
MULDER: Yeah.  ,1,1
"MULDER: Er, listen, I don't want to talk about it on this line. I'll, I'll talk to you about it, on the flight out, OK?  ",1,1
MULDER: Mrs. Budahas?  ,1,1
MULDER: We're from the FBI.  ,1,1
MULDER: What kinds of things?  ,1,1
MULDER: Did he ever talk about his work?  ,1,1
"MULDER: Eeh, you said word gets around, I'm sorry, erm, have you ever heard of this, happening to anyone else?  ",1,1
"MULDER: Mrs. McLennen, has anyone ever offered to explain what caused this?  ",1,1
MULDER: So what did you make of Uncle Fester down the block?  ,1,1
"MULDER: Yeah, but these guys aren't zoo animals, they're test pilots. They're not supposed to fold under pressure, they're supposed to thrive on it.  ",1,1
"MULDER: Yeah, that's the, er, unacknowledged codename for some new kind of defence department, surveillance project.  ",1,1
"MULDER: You saw the photos on the wall in there. This guy Budahas received a presidential commodation, he's never washed out of anything in his life.  ",1,1
"MULDER: I've been on hold with the base director of communications for fourty-five minutes, how about you?  ",1,1
"MULDER: Yeah, right. (Mulder lifts up a telephone directory) Did you say Kissel?  ",1,1
MULDER: Colonel Kissel?  ,1,1
"MULDER: Can I talk with you? Special Agent Mulder, FBI.  ",1,1
MULDER: Why don't you talk to us about Colonel Budahas?  ,1,1
MULDER: We're just looking around.  ,1,1
MULDER: We're not at liberty to comment.  ,1,1
"MULDER: Paul? Right? You've lived in this area a while, you ever seen a UFO?  ",1,1
"MULDER: But, if I wanted to talk to those UFO nuts, that you refered to earlier, where would I go?  ",1,1
MULDER: Who's the photographer?  ,1,1
"MULDER: You're kidding, where?  ",1,1
MULDER: Put it on my tab.  ,1,1
"MULDER: What would the chances be, of someone like me, seeing a UFO?  ",1,1
MULDER: I know. Let's go.  ,1,1
"MULDER: We got our own map, sucker.  ",1,1
"MULDER: I don't know, maybe nothing.  ",1,1
"MULDER: Scully, wake up. You've gotta see this.  ",1,1
"MULDER: I don't know, just keep watching it's unbelievable.  ",1,1
MULDER: They've been going at it like that for almost half an hour.  ,1,1
MULDER: What else could they be?  ,1,1
MULDER: Here comes another one.  ,1,1
MULDER: Hey.  ,1,1
MULDER: Stay right there.  ,1,1
MULDER: Come on.  ,1,1
"MULDER: Let's go, you're coming with us.  ",1,1
MULDER: Were you ever chased out before?  ,1,1
MULDER: What do you think they are?  ,1,1
MULDER: Do they look anything like this?  ,1,1
MULDER: Later Dude!  ,1,1
"MULDER: Evidence. (Mulder puts the tape in the stereo and the sound of heavy metal guitar music fills the car. Scully turns it off) Kids today, huh.  ",1,1
MULDER: Why wouldn't I?  ,1,1
"MULDER: Ho-hoo. If you were that stoned, what.  ",1,1
