scully_lines,season,episode
SCULLY: Hi. I got your message.  ,1,1
SCULLY: It's two-o-clock in the afternoon Agent Mulder.  ,1,1
SCULLY: Something you couldn't show me at work.  ,1,1
"SCULLY: Which was what, exactly?  ",1,1
SCULLY: What do you mean?  ,1,1
SCULLY: What reason would the military have to kidnap one of their own pilots?  ,1,1
"SCULLY: Yeah, there were rumours those pilots were shot down at high altitudes, while they were routinely penetrating Russian air space.  ",1,1
SCULLY: So?  ,1,1
"SCULLY: I don't get it Mulder. Does this have something to do with an X-File? I thought you only liked those, er, paranormal type cases. Am I missing something here?  ",1,1
SCULLY: You ok Mulder?  ,1,1
SCULLY: Mulder?  ,1,1
SCULLY: I checked on that file you gave me.  ,1,1
"SCULLY: You failed to tell me a few things. (Mulder hears clicking noises coming from his phone, he takes the phone away from his ear) This isn't some UFO goose chase, you're leading me on, is it? (Mulder listens into the phone again) Are you there Mulder?  ",1,1
"SCULLY: Did you hear what I said, because the bureau has it out for us already and it would make us appear pretty stupid if my field report, read like some tabloid story.  ",1,1
SCULLY: How do you mean?  ,1,1
SCULLY: Did you ever talk to him about this?  ,1,1
SCULLY: You know that the government is not above the law. They cannot withhold information.  ,1,1
SCULLY: How long has he been...  ,1,1
"SCULLY: We'll be staying at the Beech Grove Motel if you anything, ok?  ",1,1
"SCULLY: Mmm, it's called sterioptathy, it's a syndrome produced by extreme stress. POWs have been known to suffer from it, they've studied it in zoo animals.  ",1,1
SCULLY: Ever hear of something called The Aurora Project?  ,1,1
"SCULLY: The Pentagon has all but admitted, they've been testing a secret class of sub-orbital spy craft over the western US. Maybe, these guys are flying those planes. Maybe, these guys are the washouts.  ",1,1
"SCULLY: Yeah, somebody named Colonel Kissel will meet with us, a week from Friday.  ",1,1
SCULLY: Good thing we still kept that appointment.  ,1,1
SCULLY: Sucker.  ,1,1
SCULLY: Catch ye outside.  ,1,1
"SCULLY: Wanna see something weird, Mulder? Ellens Air Base isn't even on my US GS quadrant map.  ",1,1
SCULLY: You know. Where are we going?  ,1,1
SCULLY: What do you honestly hope to see?  ,1,1
"SCULLY: Is this why we came out here, Mulder? To look for UFOs. (Mulder is walking up a grassy embankment) Yea, this is gonna look real good on my field report.  ",1,1
SCULLY: Aaaaaah!  ,1,1
SCULLY: Unnh!  ,1,1
SCULLY: What are they?  ,1,1
SCULLY: That's unreal. I've never seen anything like it.  ,1,1
"SCULLY: Well, it can't be aircraft. Aircraft can't manoeuvre like that.  ",1,1
"SCULLY: I don't know, lasers maybe. Being shot from the ground, reflecting up off the clouds. (The two lights fly up through the clouds and disappear. Scully turns to face Mulder, her expression is one of amazement) Oh my God.  ",1,1
"SCULLY: That's not a plane, that's a helicopter.  ",1,1
"SCULLY: So, what exactly were you guys doing in there?  ",1,1
SCULLY: What's that?  ,1,1
"SCULLY: You believe it all, don't you?  ",1,1
"SCULLY: Mulder, did you see their eyes? If I were that stoned I...  ",1,1
"SCULLY: Mulder, you could have shown that kid a picture of a flying hamburger and he would have told you that's exactly what he saw.  ",1,1
"SCULLY: Mulder, are you suggesting that the military is flying UFOs.  ",1,1
"SCULLY: Mulder, c'mon. You've got two blurry photos, one of them taken almost fifty years ago, and another one, you purchased today in a roadside diner. You're going out on a pretty big limb.  ",1,1
"SCULLY: Tell me, one good reason why either of these photos is authentic.  ",1,1
"SCULLY: Just because I can't explain it, doesn't mean I'm gonna believe they were UFOs.  ",1,1
"SCULLY: Mulder, you're crazy. (Mulder chuckles) And it still doesn't explain to me, what happened to Colonel Budahas.  ",1,1
SCULLY: Thanks.  ,1,1
SCULLY: You ready for this.  ,1,1
"SCULLY: We got a message from Mrs. Budahas, her husband came home last night.  ",1,1
SCULLY: We got your message.  ,1,1
SCULLY: What is it?  ,1,1
"SCULLY: Mulder, would you explain to me what's going on.  ",1,1
"SCULLY: The brain doesn't work like that, Mulder. You can't just go in and erase certain files.  ",1,1
SCULLY: There are types of amnesia th..  ,1,1
"SCULLY: All I'm saying, is that the science or medical technology to do what you are suggesting, does not exist.  ",1,1
"SCULLY: Even if they could, why would they do such a thing?  ",1,1
SCULLY: It couldn't just be that he had a nervous breakdown with a concomitant memory lapse?  ,1,1
SCULLY: What the hell is th..  ,1,1
SCULLY: Federal Agents.  ,1,1
"SCULLY: Nothing under Idaho plate CC1356, no plate registered under that number. Thanks Gayle, no no no, I'm sure the other one's bogus too, bye. (Mulder is lying on the bed) So who were those guys?  ",1,1
SCULLY: Something else.  ,1,1
SCULLY: What!  ,1,1
"SCULLY: If, if that were true, it would be a national scandal.  ",1,1
"SCULLY: Did you ever stop to think that what we saw was simply an experimental plane. Like the stealth bomber or, this Aurora Project. Doesn't the government have a right and a responsibility, to protect it's secrets?  ",1,1
"SCULLY: Look, these are questions we have no business asking. Our kidnap victim is no longer outstanding. Let's get out of here Mulder, while you still have a job.  ",1,1
"SCULLY: Mulder, where are you going?  ",1,1
"SCULLY: Yeah, I'm, I'm trying to make a call to Washington D.C. an, and I can't seem to get a long distance line. (Her phone suddenly goes dead) Hello? Hello? (Scully puts the phone down beside her holstered gun and goes over to the motel reception office) Excuse me. Erm, my phone's not working, can I use yours to make a credit card call, please?  ",1,1
SCULLY: This one's not working either.  ,1,1
SCULLY: Thanks.  ,1,1
SCULLY: I was in the lobby trying to make a call.  ,1,1
SCULLY: Yeah.  ,1,1
"SCULLY: Get on the car. Hands on the car, do it.  ",1,1
"SCULLY: I said, hands against the car. Who are you?  ",1,1
SCULLY: Where's Mulder?  ,1,1
SCULLY: I want you to get on that walkie-talkie and find out where Mulder is.  ,1,1
"SCULLY: I think you can, or I'm gonna have every newspaper in America out here, writing about your experimental aircraft.  ",1,1
"SCULLY: Yeah, I've already seen where you get with tears and a sad story.  ",1,1
SCULLY: What are we doing?  ,1,1
"SCULLY: I want the car running. I said start the car. (Paul starts the car) And put your hands on the wheel, where I can see them.  ",1,1
"SCULLY: Yeah, you just keep telling yourself that.  ",1,1
"SCULLY: I want you to keep the car running, and step out of the car. (Both Paul and Scully get out of the car, Scully keeps the gun pointed at Paul as she moves around the car and behind him) Get in the car Mulder. Get in the car.  ",1,1
SCULLY: You ok Mulder?  ,1,1
SCULLY: What?  ,1,1
"SCULLY: That's enough Mulder. We don't know anything. Anything more than when we got here, and that's what I gonna write in my field report. Let's get outta here Mulder, as fast as we can.  ",1,1
SCULLY: J. Edgar Jr?  ,1,2
SCULLY: Supervisory?  ,1,2
"SCULLY: Two years out of the academy, how'd he land that?  ",1,2
"SCULLY: Well, good for Marty.  ",1,2
"SCULLY: Brad Wilson told me, the pyshological profile you wrote on the Washington Crossing Killer led them straight to the suspect. Word has it, you're on the Violent Crime Section's fast track.  ",1,2
SCULLY: Is that what everyone thinks I do?  ,1,2
SCULLY: Mulder's ideas maybe a bit out there but he is a great agent.  ,1,2
SCULLY: I take it there's a pattern?  ,1,2
SCULLY: What do you mean?  ,1,2
SCULLY: Suicides?  ,1,2
SCULLY: Bare hands. This looks like an X-file.  ,1,2
SCULLY: Do you want me to ask Mulder?  ,1,2
"SCULLY: They're friends of mine from the academy, I'm sure they just felt more comfortable talking to me.  ",1,2
SCULLY: It probably has to do with your reputation.  ,1,2
"SCULLY: Mulder, look. Colton plays by the book and you don't. They feel your methods, your theories are...  ",1,2
"SCULLY: We just got here. Er, Fox Mulder, Tom Colton.  ",1,2
"SCULLY: Ten murders, Colton never mentioned..  ",1,2
"SCULLY: Are you saying, these prints are from the 1960's and the 1930's?  ",1,2
SCULLY: Of course.  ,1,2
SCULLY: You're saying these are copy-cats.  ,1,2
SCULLY: Are you suggesting that I go before the Violent Crime Section and present a profile declaring that these murders were done by aliens?  ,1,2
"SCULLY: Well, what then? That, that this is the work of a hundred year old serial killer who is capable of overpowering a healthy six foot two businessman.  ",1,2
"SCULLY: Look, bottom line, this is Colton's case.  ",1,2
"SCULLY: Mulder, they don't want you involved. They don't want to hear your theories. That's why Blevins has you hidden away down here.  ",1,2
"SCULLY: Position ten, I copy.  ",1,2
"SCULLY: Mulder, what the hell are you doing here?  ",1,2
"SCULLY: Mulder, you are jeopardising my stakeout.  ",1,2
SCULLY: Position ten requesting backup.  ,1,2
"SCULLY: Federal Agent, I'm armed. Proceed down the vent, slowly.  ",1,2
